department,service_name,pdf_link,application_fee,service_charge,documents
"Animal Husbandry, Dairying and Fisheries",National Fishermen Savings cum Relief Scheme,PPT/ADF201NFSRSchemeOperator.pdf,0,10,1.Aadhaar Card 2.Applicant’s Recent Photo 3.Smart Ration Card No 4.First page of bank pass book 5.Fishermen Cooperative Society Passbook with photo 6.Voter Card 7.Bio Metric Identity Card 8.Address Proof (If the given residential address is different from Aadhaar)
"Animal Husbandry, Dairying and Fisheries",Tamil Nadu Marine Fisherwomen Savings cum Relief Scheme,PPT/ADF202TNMFWomenOperator.pdf,0,10,1.Aadhaar Card 2.Applicant’s Recent Photo 3.Smart Ration Card No 4.First page of bank pass book 5.Fishermen Cooperative Society Passbook with photo 6.Voter Card 7.Bio Metric Identity Card 8.Address Proof (If the given residential address is different from Aadhaar)
"Animal Husbandry, Dairying and Fisheries",Relief Assistance to marine Fishermen families during Fishing Ban period,PPT/ADF_203_FishermenBan_Period_Operator.pdf,0,10,1.Aadhaar Card 2.Applicant’s Recent Photo 3.Smart Ration Card No 4.First page of bank pass book 5.Fishermen Cooperative Society Passbook with photo 6.Voter Card 7.Bio Metric Identity Card 8.Address Proof (If the given residential address is different from Aadhaar)
"Animal Husbandry, Dairying and Fisheries",Special Allowance to marine Fishermen families during Fishing lean period,PPT/ADF_204_Fishermenlean_Period_Operator.pdf,0,10,1.Aadhaar Card 2.Applicant’s Recent Photo 3.Smart Ration Card No 4.First page of bank pass book 5.Fishermen Cooperative Society Passbook with photo 6.Voter Card 7.Bio Metric Identity Card 8.Address Proof (If the given residential address is different from Aadhaar)
"Animal Husbandry, Dairying and Fisheries",Renewal of Relief Assistance to Marine Fishermen Families during BAN period,PPT/ADF_205_Renewal_of_Relief_Assistance_to_Marine_Fishermen_Families.pdf,0,10,1.Aadhaar Card 2.Applicant’s Recent Photo 3.Smart Ration Card No 4.First page of bank pass book 5.Fishermen Cooperative Society Passbook with photo 6.Voter Card 7.Bio Metric Identity Card 8.Address Proof (If the given residential address is different from Aadhaar)
"Animal Husbandry, Dairying and Fisheries",Renewal of Special Allowance to Marine Fishermen during Fishing LEAN period,PPT/ADF_206_Renewal_of_Relief_Assistance_to_Marine_Fishermen_Families.pdf,0,10,1.Aadhaar Card 2.Applicant’s Recent Photo 3.Smart Ration Card No 4.First page of bank pass book 5.Fishermen Cooperative Society Passbook with photo 6.Voter Card 7.Bio Metric Identity Card 8.Address Proof (If the given residential address is different from Aadhaar)
Anna University,TNEA 2016 BE/ BTech Online registration,PPT/Anna University user manual.pdf,0,60,NA
Chennai Traffic Police,Challan Payment,PPT/CTP - Challan Payment.pdf,"upto 250, more than 250 of fine amount","5, 5%",NA
Civil Supplies and Consumer Protection department,Application for New Ration Card,PPT/PDS-501_Application_for_New_Ration_card.pdf,0,60,NA
Civil Supplies and Consumer Protection department,Addition of New Family Member in Ration Card,PPT/User_Manual_CSC_PDS_502_Addition_of_New_Fmily_Members_in_Ration.pdf,0,30,NA
